NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-64	祖母	grandmother	588	1496	GRANDMOTHER		217	grandmother (address) (note:?)	奶奶	grandmother	人物称谓								
Chen-2013-888-65	父亲	father	588	1217	FATHER		218	father	父亲	father	人物称谓	Huang-1992-1820-218	father (reference) (note:+citation)	父亲 ((引称))	1217	FATHER	n	father n||father (address) (note:+address) n	父亲||父亲 ((对称))
Chen-2013-888-66	母亲	mother	588	1216	MOTHER		219	mother	母亲	mother	人物称谓	Huang-1992-1820-219	mother (reference) (note:+citation)	母亲 ((引称))	1216	MOTHER	n	mother (address) (note:+address) n||mother n	母亲 ((对称))||母亲
Chen-2013-888-67	儿子	son	589	1620	SON		220	son	儿子	son	人物称谓	Huang-1992-1820-220	son (intimate) (note:+citation)	儿子 ((一般称谓))	1620	SON	n	son (general term) (note:+respectful) n||son n||son (honorific) (note:+familiar) n	儿子 ((尊称))||儿子||儿子 ((昵称))
Chen-2013-888-68	儿媳	daughter-in-law	589	1057	DAUGHTER-IN-LAW		221	daughter-in-law (address) (note:+citation)	媳妇（儿～）	daughter-in-law	人物称谓								
Chen-2013-888-69	女儿	daughter	589	1357	DAUGHTER		222	daughter	女儿	daughter	人物称谓	Huang-1992-1820-222	daughter	女儿	1357	DAUGHTER	n		
Chen-2013-888-70	女婿	son-in-law	590	1056	SON-IN-LAW		223	son-in-law	女婿	son-in-law	人物称谓	Huang-1992-1820-223	son-in-law (doesn't come calling) (note:+married_in)	女婿 ((上门)~)	1056	SON-IN-LAW	n		
Chen-2013-888-71	孙子	grandson	590	1618	GRANDSON		224	grandson	孙子	grandson	人物称谓	Huang-1992-1820-224	grandson	孙子	1618	GRANDSON	n		
Chen-2013-888-72	哥哥	elder brother	590	1759	OLDER BROTHER		226	elder brother	哥哥	elder brother	人物称谓	Huang-1992-1820-226	elder brother	哥哥	1759	OLDER BROTHER	n		
Chen-2013-888-73	姐姐	elder sister	591	1758	OLDER SISTER		227	elder sister	姐姐	elder sister	人物称谓	Huang-1992-1820-227	elder sister (address by y. sister) (note:+younger_brother_citation)	姐姐 ((弟引称))	2418	OLDER SISTER (OF MAN)	n		
Chen-2013-888-74	弟弟	younger brother	591	1760	YOUNGER BROTHER		228	younger brother	弟弟	younger brother	人物称谓	Huang-1992-1820-228	younger brother (address)	弟弟	1760	YOUNGER BROTHER	n		
Chen-2013-888-75	妹妹	younger sister	591	1761	YOUNGER SISTER		229	younger sister	妹妹	younger sister	人物称谓	Huang-1992-1820-229	younger sister (address) (note:+brother_citation (wrong number))	妹妹 ((兄弟引称))	2420	YOUNGER SISTER (OF MAN)	n		
